Route ID;Step ID;Town A;Town B;Distance;Driver name
123507;2;BEYCHAC ET CAILLAU;LATRESNE;13.617;Laura NAVARRO
107421;6;MARIGNIER;FAUCIGNY;9.953;Eva WEBER
39435;18;ECLANCE;ROLAMPONT;63.44;Evgeniy SMITH
42199;18;CAUBON ST SAUVEUR;VAUSSEROUX;219.856;Tatiana RODRIGUEZ
116783;2;GIRAUVOISIN;BITSCHWILLER LES THANN;152.254;Anna KUZNETSOVA
70439;5;BAULOU;MONTFA;22.601;Yvan NIELSEN
219532;19;ROCHEFORT;SOUBISE;4.381;Andreas SCHÄFER
239267;1;CAMOU CIHIGUE;OSSAS SUHARE;2.519;Angela JOHANSSON
4040;15;ST PRIEST DES CHAMPS;ESPINASSE;7.595;Valentyna SCHMID
38135;9;SCORBE CLAIRVAUX;CHABOURNAY;14.549;Anton VASILEVA
185738;5;PELUSSIN;ST SAUVEUR EN RUE;20.946;Petra HERNANDEZ
299737;22;ST GERMAIN DE JOUX;COTEAUX DU LIZON;25.902;Aleksandr DIAZ
244408;22;ST LEON;ANZEX;5.534;Aleksandra JIMENEZ
248472;32;GUEURES;LONGUEIL;4.505;Ivan RICHTER
17403;12;ROUILLE;PAMPROUX;5.444;Olha GOMEZ
16201;12;ST ANDRE DE CUBZAC;BELIN BELIET;63.119;Claude SCHMIDT
181900;19;MONTJOIE ST MARTIN;HAMELIN;5.227;Dmitriy MORENO
134366;20;CELLE;CHOUE;21.133;Sergey NAGY
79111;14;VIRARGUES;ST ETIENNE LA GENESTE;55.995;Mikhail IVANOV
279608;28;BARGEMON;MONS;15.273;Roman ZIMMERMANN
42158;35;ST SIMEON;SELLES;2.791;Valentyna POPOVA
240131;19;CAMIRAN;TALENCE;45.589;Robert ROBERTS
280904;17;PEINTRE;VILLETTE LES DOLE;17.093;Tatyana WAGNER
298451;30;GENERAC;MAZION;4.683;Wolfgang MORENO
116436;9;MONTAURIOL;TORDERES;3.076;Mariya PAVLOVA
118478;24;BRIAUCOURT;KEMBS;95.1;Irina JONES
137964;8;LE PLESSIS ROBINSON;JOUY EN JOSAS;7.237;Robert BROWN
296699;8;LE MEIX TIERCELIN;DAMPIERRE;10.087;Juan WOLF
25275;6;LA PENNE;PUGET THENIERS;4.184;Andrei HERNANDEZ
208513;5;LASSERRE;MONCRABEAU;4.009;Anton SANTOS
286039;29;IZAUX;LORTET;2.078;Vasylyi SANTOS
58154;17;ST JEAN DE BLAIGNAC;BELLEFOND;5.749;Hans GOMEZ
247007;20;GERM;GOUAUX DE LARBOUST;3.006;Mario WOLF
192285;3;CHERBOURG EN COTENTIN;SAUSSEMESNIL;11.515;Wolfgang MUÑOZ
240365;4;LE MOUTARET;ST ANTOINE L ABBAYE;73.351;Andrey THOMAS
110905;21;EPIERRE;ARGENTINE;4.163;Andreas COSTA
229137;15;VIEUX FERRETTE;HEIDWILLER;17.362;Valentyna MAGOMEDOV
53503;9;PUY ST PIERRE;ST JEAN D ARVES;39.679;Marie PEREZ
157191;14;BRENAS;OCTON;3.867;Daniel PEREZ
108455;35;ST MARTIN DE PALLIERES;BRUE AURIAC;6.51;David JOHANSSON
230035;15;ST ETIENNE DES CHAMPS;LA VILLENEUVE;15.498;Natalya MARIN
240384;24;ST LOUP TERRIER;PUISEUX;5.958;Klaus NAGY
53342;11;VILLEPINTE;CARLIPA;3.543;Francisco JOHNSON
232535;9;USCLAS D HERAULT;NIZAS;4.092;Jose NAVARRO
106368;23;RAISSAC D AUDE;OUPIA;10.629;Juan WEBER
102280;17;IZEAUX;VOUREY;7.766;Denis NOVIKOVA
291130;5;FONTENILLE ST MARTIN ENTRAIGUES;ST ROMANS DES CHAMPS;19.465;Elena SCHULZ
47295;4;VAL BUECH MEOUGE;LEZAN;143.932;Vasylyi IVANOV
167274;14;ST MICHEL;MERIGNAC;15.493;Vera PETROV
