Route ID;Distance;Driver name
7;13.638;Rosa PAVLOVA
39;3.593;Tomasz ROSSI
46;17.986;Brigitte NOVIKOVA
47;6.085;Anastasiya FERNANDEZ
65;16.966;Valentyna KLEIN
126;58.439;Jean LOPEZ
130;2.425;Angela NOVIKOVA
135;7.341;Peter MARTIN
150;8.751;Ekaterina EVANS
190;138.762;Andrei SMIRNOV
193;5.553;Yuliya SMITH
216;5.91;Daniel GUTIERREZ
357;6.007;Maryia FERREIRA
394;33.91;Mária WILSON
420;2.54;Darya SMITH
442;9.113;Tomasz GARCIA
450;4.749;Aleksandra ROSSI
493;95.987;Aleksandr TAYLOR
513;1.514;John MARTIN
522;6.852;Angela BECKER
535;4.823;Rosa HOFFMANN
543;4.204;Juan SMITH
549;7.255;Vladimir THOMAS
565;65.631;Lyubov TÓTH
568;14.249;Anastasiya PEREIRA
604;27.382;Barbara TÓTH
618;20.159;Christine JOHNSON
619;29.36;Jean POPOV
642;88.423;Ekaterina BECKER
650;14.568;Giovanni SCHÄFER
680;23.561;Mario ROBERTS
701;643.985;Valentyna SMIRNOVA
708;3.264;Werner SCHNEIDER
849;62.122;Mikhail JOHNSON
875;42.972;Andrea ZIMMERMANN
876;15.953;Anna WEBER
915;39.165;Daniel RUSSO
916;8.826;Valentina KLEIN
920;12.454;Alina SCHULZ
939;191.767;Antonio ROMERO
945;30.266;Denis PEREIRA
945;75.776;Denis PEREIRA
951;141.459;Vladimir BRAUN
955;8.37;Sandra MORENO
958;27.904;Thomas NOVIKOVA
965;10.053;Rosa NAVARRO
968;20.967;Karin SCHMIDT
969;3.477;Andreas KOCH
1044;8.894;Maria SZABÓ
1087;131.637;Alina HERNANDEZ
1120;2.824;Antonio ALVAREZ
1141;10.727;Denis RICHTER
1142;67.746;Mariya SCHMIDT
1163;9.22;Tomasz SCHMID
1197;12.925;Oksana RAMOS
1205;27.46;Vladimir IVANOV
1254;6.378;Andrea NOWAK
1257;25.028;Aleksandr ALVAREZ
1302;45.996;Werner SCHMIDT
1390;14.33;Nykolai SCHMIDT
1404;5.848;Dmitriy PETROV
1409;22.546;Aleksandra NIELSEN
1474;5.032;Patrick MILLER
1475;29.75;Ekaterina GONZALEZ
1505;12.663;Andreas PEREZ
1585;14.781;Roman MARTIN
1613;28.38;Marie JIMENEZ
1614;6.058;Darya JOHNSON
1615;3.905;Peter POPOVA
1640;5.778;Tomasz SMIRNOV
1647;5.486;Dmitriy RODRIGUEZ
1649;30.291;Patrick ROBERTS
1669;224.796;Irina KOVÁCS
1724;19.357;Antonio PETROV
1754;8.855;Piotr ROSSI
1800;4.853;Tatyana WAGNER
1816;4.823;Klaus KRAVCHENKO
1884;29.913;Giuseppe BONDARENKO
1929;25.299;Maksim RODRIGUEZ
1944;44.556;Tatyana SOKOLOVA
1957;72.487;Darya TÓTH
1960;328.279;Valentina ZIMMERMANN
1972;38.634;Angela SILVA
1984;18.277;Francesco TÓTH
2012;64.224;Nadezhda PEREZ
2030;12.69;Wolfgang TÓTH
2102;3.985;Karin BECKER
2138;32.634;Marta FERNANDEZ
2155;40.474;Elisabeth PETROV
2234;45.868;Aleksandr NOWAK
2327;4.898;Lyubov GONZALEZ
2342;24.286;Darya SILVA
2346;8.98;Karin MILLER
2469;6.616;Svetlana FERNANDEZ
2476;7.188;Piotr TORRES
2510;21.089;Martin GOMEZ
2520;5.836;Pavel ZIMMERMANN
2532;43.731;Tomasz NAGY
2587;17.59;Francesco MARTIN
2590;17.248;Denis ZIMMERMANN
2606;16.826;Juan MOROZOVA
2646;7.635;John COSTA
2664;7.326;Olha KRAVCHENKO
2695;43.417;Natalya RUIZ
2699;15.698;Jose RODRIGUEZ
2709;224.575;Andrey MORENO
2744;24.017;Monika KOCH
2807;14.818;Sergey BROWN
2887;51.412;Olga MORENO
2908;103.532;Olga BROWN
3015;24.856;Sandra FERREIRA
3037;18.505;Yuliya GARCIA
3111;198.197;Vera IVANOV
3224;7.6;Christine PEREZ
3236;50.972;Juan THOMAS
3242;5.71;Alexander JIMENEZ
3244;10.275;Michel PAVLOVA
3326;68.068;Vasylyi KUZNETSOV
3344;13.795;Oksana WOLF
3400;3.591;Marina MEYER
3401;26.334;Vera WAGNER
3453;1.988;Giuseppe SANCHEZ
3459;66.669;Tatyana GUTIERREZ
3515;13.951;Mária GOMEZ
3524;4.731;Elena TAYLOR
3568;20.942;Aleksandr SANCHEZ
3573;27.899;Anastasiya WAGNER
3598;21.054;Nikolay KOVÁCS
3600;3.62;Andrea LOPEZ
3633;179.725;Andreas DIAZ
3643;14.239;Andrei PAVLOVA
3679;14.338;Mariya ROMERO
3768;20.377;Angela FERNANDEZ
3808;22.276;Klaus COSTA
3953;10.327;Irina ZIMMERMANN
3985;11.813;Klaus RICHTER
4027;10.331;Aleksey JOHNSON
4029;45.072;Mária FERRARI
4040;7.595;Valentyna SCHMID
4072;11.56;Maryia ALVAREZ
4073;8.739;Yuliya EVANS
4077;8.928;Maksim MOROZOVA
4115;65.646;Paul PEREZ
4165;41.586;Hans GOMEZ
4170;8.859;Maryia JENSEN
4175;3.623;Nykolai JOHNSON
4219;27.642;Juan BROWN
4237;7.597;Michel MILLER
4296;6.941;Maksim ALONSO
